年,都道府県市区町村,自民得票計,井上得票,投票者数,UC有無,HS有無,HC有無,A2101_住民基本台帳人口（日本人）,A210101_住民基本台帳人口（日本人）（男）,A210102_住民基本台帳人口（日本人）（女）,A2201_住民基本台帳人口（外国人）,A2301_住民基本台帳人口（総数）,A4101_出生数,A4200_死亡数,A5101_転入者数（日本人移動者）,A5102_転出者数（日本人移動者）,A5103_転入者数,A5104_転出者数,A7103_住民基本台帳世帯数（日本人）,A9101_婚姻件数,A9201_離婚件数,B1101_総面積（北方地域及び竹島を除く）,B1102_総面積（北方地域及び竹島を含む）,B1103_可住地面積,B1104_主要湖沼面積,C120110_課税対象所得,C120120_納税義務者数（所得割）,C120130_納税義務者数（均等割）,C3107_耕地面積,C3403_製造業事業所数,C3404_製造業従業者数,D1202_一般行政部門職員数（市区町村）,E1101_幼稚園数,E1501_幼稚園在園者数,E2101_小学校数,E2401_小学校教員数,E2501_小学校児童数,E3101_中学校数,E3401_中学校教員数,E3501_中学校生徒数,E3901_義務教育学校数,E3902_義務教育学校前期課程学級数,E3903_義務教育学校後期課程学級数,E3904_義務教育学校教員数,E3905_義務教育学校前期課程児童数,E3906_義務教育学校後期課程生徒数,E4101_高等学校数,E4501_高等学校生徒数,F1101_労働力人口,F110101_労働力人口（男）,F110102_労働力人口（女）,F1102_就業者数,F110201_就業者数（男）,F110202_就業者数（女）,F1103_就業者数・主に仕事,F1104_就業者数・家事のほか仕事,F1105_就業者数・通学のかたわら仕事,F1106_就業者数・休業者,F1107_完全失業者数,F110701_完全失業者数（男）,F110702_完全失業者数（女）,F1108_非労働力人口,F110801_非労働力人口（男）,F110802_非労働力人口（女）,F1109_非労働力人口・家事,F1110_非労働力人口・通学,F1111_非労働力人口・その他,F1301_農林漁業者,F1302_農林漁業雇用者,F1303_会社団体役員,F1304_商店主,F1305_工場主,F1306_サービス・その他の事業主,F1307_専門職業者,F1308_技術者,F1309_教員・宗教家,F1310_文筆家・芸術家・芸能家,F1311_管理職,F1312_事務職,F1313_販売人,F1314_技能者,F1315_労務作業者,F1316_個人サービス人,F1317_保安職,F1318_内職者,F2116_就業者数（65歳以上）,F2201_第1次産業就業者数,F2211_第2次産業就業者数,F2221_第3次産業就業者数,F2401_雇用者数（国勢調査結果）,F2402_役員数,F2403_雇人のある業主数,F2404_雇人のない業主数,F2405_家族従業者数（国勢調査結果）,F2406_自営業主及び家族従業者数,F2409_雇用者数（正規の職員・従業員）,F2410_雇用者数（労働者派遣事業所の派遣社員）,F2411_雇用者数（パート・アルバイト・その他）,F2701_自市区町村で従業している就業者数,F270101_自市区町村で従業している就業者数（男）,F270102_自市区町村で従業している就業者数（女）,F2702_県内他市区町村で従業している就業者数,F270201_県内他市区町村で従業している就業者数（男）,F270202_県内他市区町村で従業している就業者数（女）,F2703_他県で従業している就業者数,F270301_他県で従業している就業者数（男）,F270302_他県で従業している就業者数（女）,F2705_他市区町村への通勤者数,F270501_他市区町村への通勤者数（男）,F270502_他市区町村への通勤者数（女）,F2801_従業地による就業者数,F2802_他県に常住している就業者数,F2803_他市区町村からの通勤者数,G1201_公民館数,G1401_図書館数,H1800_着工新設住宅戸数,H1801_着工新設持家数,H1802_着工新設貸家数,H1803_着工新設分譲住宅数,H1804_着工新設給与住宅数,H1810_着工新設持家・分譲住宅数,H2600_着工新設住宅床面積,H2601_着工新設持家床面積,H2602_着工新設分譲住宅床面積,H2603_着工新設貸家床面積,H2604_着工新設給与住宅床面積,H7207_軽自動車等台数,H7208_二輪の小型自動車台数,H7209_原動機付自転車台数,H720901_原動機付自転車台数（50ｃｃ以下）,H720902_原動機付自転車台数（50ｃｃ超90ｃｃ以下）,H720903_原動機付自転車台数（90ｃｃ超）,H720904_原動機付自転車台数（ミニカー）,H7210_軽自動車及び小型特殊自動車台数,H721001_二輪車台数（側車付のものを含む）,H721002_三輪車台数,H7701_テレビ放送受信契約数,H770101_衛星放送受信契約数,I5101_病院数,I510110_精神科病院数,I510120_一般病院数,I510150_療養病床を有する病院数,I5102_一般診療所数,I510201_有床一般診療所数,I5103_歯科診療所数,I5211_病院病床数,I5212_一般診療所病床数,I5511_介護老人保健施設数（基本票）,I5512_介護老人保健施設定員数（基本票）,J2221_保護施設数（基本票）（医療保護施設を除く）,J230127_介護老人福祉施設数（基本票）,J230128_介護老人福祉施設定員数（基本票）,J2304_老人福祉施設数（基本票）,J230411_養護老人ホーム数（基本票）,J230412_養護老人ホーム定員数（基本票）,J230421_有料老人ホーム数（基本票）,J230422_有料老人ホーム定員数（基本票）,J230431_軽費老人ホーム数（基本票）,J230432_軽費老人ホーム定員数（基本票）,J250204_児童福祉施設等数（基本票）,J250302_保育所等数（基本票）,J250303_公営保育所等数（基本票）,J2804_母子・父子福祉施設数（基本票）,J2905_障害者支援施設等数（基本票）,J2906_婦人保護施設数（基本票）,J4101_国民健康保険被保険者数
2019,神奈川県伊勢原市,14457.076,270.955,40611,1,0,0,97584,49556,48028,2629,100213,680,895,3906,4021,4304,4391,44461,411,122,5556,5556,3472,0,175210022,50381,53386,1070,126,7656,406,5,929,10,319,4807,4,149,2364,0,0,0,0,0,0,3,3046,50014,29500,20514,48092,28220,19872,38783,7188,1199,922,1922,1280,642,30856,11035,19821,12688,5460,12708,980,180,630,210,410,440,1110,6030,2180,600,100,8690,5110,9340,4200,4310,770,70,5845,1134,12202,31910,39957,2001,645,2636,1088,4369,25274,1747,12936,19801,9546,10255,22112,14414,7698,4220,3044,1176,26332,17458,8874,41577,1169,19817,7,1,651,256,154,241,0,497,51562,29055,15385,7122,0,32157,1713,7664,5194,429,1931,110,22780,1795,3,36374,18390,3,0,3,1,63,3,52,1356,47,2,175,0,6,318,4,1,60,17,702,2,80,22,15,2,0,4,0,20331
2019,神奈川県海老名市,20137.777,67.881,56661,0,0,0,133444,67129,66315,2690,136134,1012,1061,6434,4959,6883,5299,59690,635,178,2659,2659,2608,0,240753528,65862,69553,509,126,7220,576,7,1732,13,401,7150,6,219,3450,0,0,0,0,0,0,3,2690,59948,35512,24436,57635,34002,23633,46111,9222,1350,952,2313,1510,803,40770,14454,26316,17153,6052,17565,610,100,790,150,460,520,990,6800,2810,770,190,12520,6960,10130,4340,5700,1050,10,6143,727,14309,39821,49187,2339,668,2768,902,4338,31162,1942,16083,19505,8558,10947,28294,18354,9940,7936,5850,2086,36230,24204,12026,53516,3013,32111,0,2,797,248,241,308,0,556,65988,27018,27339,11631,0,30042,1611,7479,5034,354,1999,92,20952,1872,0,47266,26255,4,0,4,2,96,4,57,852,65,2,185,0,8,513,3,1,50,12,824,0,0,28,23,6,0,2,0,27178
2019,神奈川県座間市,17036.893,62.794,50655,0,0,0,128563,64712,63851,3282,131845,801,1162,5737,5479,6280,5818,60513,511,214,1757,1757,1662,0,212833399,65248,67943,203,129,8566,491,9,1697,11,355,6229,6,193,3024,0,0,0,0,0,0,3,2545,61017,35791,25226,58291,33997,24294,46718,8877,1505,1191,2726,1794,932,38152,13301,24851,16296,5949,15907,260,50,910,260,350,490,840,6310,2340,890,180,11280,7290,10620,4840,6190,1160,50,6516,355,13406,40688,48892,2267,712,3137,819,4668,29998,2180,16714,17159,7860,9299,27554,16923,10631,10538,7310,3228,38092,24233,13859,40615,2170,20416,3,1,792,231,188,372,1,603,67034,24468,33354,9087,125,29037,1717,7953,5269,344,2229,111,19367,1945,3,44883,23722,4,0,4,3,57,3,63,950,57,2,121,0,6,510,0,0,0,15,601,0,0,29,25,9,0,6,0,28214
2019,神奈川県南足柄市,7034.944,1746.944,17897,0,0,0,41126,20286,20840,524,41650,155,523,1072,1311,1136,1364,17583,127,49,7712,7712,2506,0,62179388,20377,21894,654,49,3966,215,6,320,6,146,2030,3,82,1071,0,0,0,0,0,0,1,729,21135,12225,8910,20242,11622,8620,16190,3357,378,317,893,603,290,15760,5751,10009,6279,2231,7250,370,60,320,170,160,210,180,2470,1090,220,160,4070,1980,3770,1720,2200,390,10,2775,575,6318,12800,16978,863,311,1296,519,2126,10352,663,5963,8102,4207,3895,10775,6404,4371,1040,798,242,11815,7202,4613,15501,311,7074,1,1,166,74,38,54,0,128,16104,8310,5603,2191,0,16305,615,3148,2270,164,644,70,12542,665,0,14625,7401,2,0,2,1,24,0,17,398,0,1,82,0,2,100,1,0,0,6,123,1,50,8,5,1,0,1,0,8700
2019,神奈川県綾瀬市,10864.932,49,31126,0,0,0,80728,41105,39623,4158,84886,467,772,2799,3045,3310,3459,35724,275,140,2214,2214,2056,0,128234826,39985,42552,236,342,10762,428,9,1556,10,285,4714,5,155,2295,0,0,0,0,0,0,2,1921,39635,23891,15744,37818,22678,15140,30091,6144,885,698,1817,1213,604,26892,9505,17387,11372,3531,11989,270,50,470,110,530,480,210,2910,1060,290,110,6340,4660,8460,3960,3870,1230,30,4711,489,11172,24109,31639,1707,514,2114,690,3318,19136,1184,11319,14309,7431,6878,18708,11840,6868,3329,2445,884,22037,14285,7752,35411,832,19630,6,4,429,176,83,170,0,346,39938,19736,15928,4274,0,27240,1280,7633,5162,259,2127,85,18327,1494,0,27900,14666,1,0,1,1,34,2,28,168,29,1,87,0,3,234,3,0,0,10,587,2,45,17,11,2,0,5,0,19482
2019,神奈川県葉山町,4758.361,19,14576,0,0,0,32665,15456,17209,251,32916,139,357,1122,1042,1159,1063,14315,72,42,1704,1704,826,0,67486134,14989,16031,32,6,126,187,5,704,4,110,1815,2,55,781,0,0,0,0,0,0,0,0,14773,8404,6369,14273,8090,6183,10958,2746,304,265,500,314,186,12182,4035,8147,5458,1608,5116,100,10,640,140,160,240,490,1370,820,610,50,3040,1880,1490,570,1790,340,10,2108,177,2189,11339,10771,1355,366,1220,365,1951,6664,393,3714,4589,1993,2596,6476,3768,2708,2892,2148,744,9368,5916,3452,7898,74,2993,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9867,582,4466,2611,240,1553,62,4819,718,0,11451,8464,1,0,1,0,19,0,18,89,0,2,70,0,2,160,0,0,0,6,351,0,0,7,4,1,0,1,0,7803
2019,神奈川県寒川町,5554,25,17762,0,0,0,47966,24334,23632,967,48933,311,460,1853,1573,1997,1648,21112,191,81,1334,1334,1309,0,74464214,23365,24901,221,115,7712,217,3,775,5,146,2608,3,87,1238,0,0,0,0,0,0,1,857,24040,14399,9641,23066,13711,9355,18448,3736,501,381,974,688,286,15599,5452,10147,6647,2139,6813,340,50,290,140,340,270,140,1990,860,230,20,3820,2360,6450,2120,2270,290,30,2658,487,7629,14116,19481,973,345,1353,512,2210,12048,686,6747,9379,4986,4393,11829,7381,4448,1377,1033,344,13206,8414,4792,20867,321,11007,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17430,847,4887,3152,252,1397,86,11696,913,0,16318,8685,2,1,1,0,21,1,18,283,9,1,90,0,3,167,4,1,100,5,206,0,0,7,5,0,0,1,0,10627
2019,神奈川県大磯町,4737,75,13848,0,0,0,32519,15911,16608,192,32711,154,376,1053,936,1081,954,14307,84,38,1718,1718,1227,0,60705356,15248,16663,257,10,213,159,3,268,4,92,1606,4,78,845,0,0,0,0,0,0,1,823,14760,8693,6067,14156,8260,5896,11211,2442,287,216,604,433,171,12159,4295,7864,5250,1520,5389,200,40,400,120,110,180,420,1480,820,270,40,3000,1850,2180,850,1630,220,20,2143,317,3000,10304,11260,926,285,1015,393,1693,7089,404,3767,4021,1814,2207,7896,4771,3125,1897,1453,444,9793,6224,3569,8055,100,3692,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10062,507,3038,2058,154,776,50,6517,566,0,11750,6929,1,0,1,0,18,0,17,312,0,1,110,0,2,150,2,0,0,3,204,0,0,8,4,1,0,2,0,7620
2019,神奈川県二宮町,4425.999,102,12814,0,0,0,28077,13617,14460,244,28321,124,352,832,845,869,871,12586,53,31,908,908,754,0,46452265,13542,14470,112,18,300,132,5,593,3,81,1196,2,53,625,0,0,0,0,0,0,1,789,13361,7717,5644,12814,7348,5466,10146,2153,307,208,547,369,178,11329,4082,7247,4603,1485,5241,100,40,280,90,60,70,380,1290,680,210,50,2780,1680,2120,810,1410,190,0,1813,205,2827,9369,10735,607,212,812,258,1282,6625,385,3725,3477,1525,1952,7555,4483,3072,1571,1209,362,9126,5692,3434,6004,62,2316,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8249,424,2497,1847,104,515,31,5328,455,0,10371,5647,0,0,0,0,22,0,19,0,0,0,0,0,1,98,3,0,0,2,160,3,138,6,5,1,0,0,0,6428
2019,神奈川県中井町,1693.731,475.982,3962,0,0,0,8928,4517,4411,334,9262,26,103,208,268,240,282,3614,21,13,1999,1999,1339,0,13812377,4538,5112,413,42,2430,65,0,0,2,34,393,1,24,233,0,0,0,0,0,0,0,0,5036,2902,2134,4852,2777,2075,3841,855,87,69,184,125,59,3432,1305,2127,1304,514,1614,390,30,90,30,80,60,40,310,250,40,30,780,410,1160,480,510,80,10,882,439,1413,2867,3729,262,72,475,220,767,2105,238,1386,2032,1075,957,2524,1503,1021,215,150,65,2739,1653,1086,7605,164,5492,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5536,184,857,608,46,186,17,4495,210,1,3199,1449,1,0,1,0,8,0,4,22,0,1,136,0,1,100,1,0,0,2,58,0,0,2,2,1,0,1,0,2423
