年,都道府県市区町村,自民得票計,井上得票,投票者数,UC有無,HS有無,HC有無,A2101_住民基本台帳人口（日本人）,A210101_住民基本台帳人口（日本人）（男）,A210102_住民基本台帳人口（日本人）（女）,A2201_住民基本台帳人口（外国人）,A2301_住民基本台帳人口（総数）,A4101_出生数,A4200_死亡数,A5101_転入者数（日本人移動者）,A5102_転出者数（日本人移動者）,A5103_転入者数,A5104_転出者数,A7103_住民基本台帳世帯数（日本人）,A9101_婚姻件数,A9201_離婚件数,B1101_総面積（北方地域及び竹島を除く）,B1102_総面積（北方地域及び竹島を含む）,B1103_可住地面積,B1104_主要湖沼面積,C120110_課税対象所得,C120120_納税義務者数（所得割）,C120130_納税義務者数（均等割）,C3107_耕地面積,C3403_製造業事業所数,C3404_製造業従業者数,D1202_一般行政部門職員数（市区町村）,E1101_幼稚園数,E1501_幼稚園在園者数,E2101_小学校数,E2401_小学校教員数,E2501_小学校児童数,E3101_中学校数,E3401_中学校教員数,E3501_中学校生徒数,E3901_義務教育学校数,E3902_義務教育学校前期課程学級数,E3903_義務教育学校後期課程学級数,E3904_義務教育学校教員数,E3905_義務教育学校前期課程児童数,E3906_義務教育学校後期課程生徒数,E4101_高等学校数,E4501_高等学校生徒数,F1101_労働力人口,F110101_労働力人口（男）,F110102_労働力人口（女）,F1102_就業者数,F110201_就業者数（男）,F110202_就業者数（女）,F1103_就業者数・主に仕事,F1104_就業者数・家事のほか仕事,F1105_就業者数・通学のかたわら仕事,F1106_就業者数・休業者,F1107_完全失業者数,F110701_完全失業者数（男）,F110702_完全失業者数（女）,F1108_非労働力人口,F110801_非労働力人口（男）,F110802_非労働力人口（女）,F1109_非労働力人口・家事,F1110_非労働力人口・通学,F1111_非労働力人口・その他,F1301_農林漁業者,F1302_農林漁業雇用者,F1303_会社団体役員,F1304_商店主,F1305_工場主,F1306_サービス・その他の事業主,F1307_専門職業者,F1308_技術者,F1309_教員・宗教家,F1310_文筆家・芸術家・芸能家,F1311_管理職,F1312_事務職,F1313_販売人,F1314_技能者,F1315_労務作業者,F1316_個人サービス人,F1317_保安職,F1318_内職者,F2116_就業者数（65歳以上）,F2201_第1次産業就業者数,F2211_第2次産業就業者数,F2221_第3次産業就業者数,F2401_雇用者数（国勢調査結果）,F2402_役員数,F2403_雇人のある業主数,F2404_雇人のない業主数,F2405_家族従業者数（国勢調査結果）,F2406_自営業主及び家族従業者数,F2409_雇用者数（正規の職員・従業員）,F2410_雇用者数（労働者派遣事業所の派遣社員）,F2411_雇用者数（パート・アルバイト・その他）,F2701_自市区町村で従業している就業者数,F270101_自市区町村で従業している就業者数（男）,F270102_自市区町村で従業している就業者数（女）,F2702_県内他市区町村で従業している就業者数,F270201_県内他市区町村で従業している就業者数（男）,F270202_県内他市区町村で従業している就業者数（女）,F2703_他県で従業している就業者数,F270301_他県で従業している就業者数（男）,F270302_他県で従業している就業者数（女）,F2705_他市区町村への通勤者数,F270501_他市区町村への通勤者数（男）,F270502_他市区町村への通勤者数（女）,F2801_従業地による就業者数,F2802_他県に常住している就業者数,F2803_他市区町村からの通勤者数,G1201_公民館数,G1401_図書館数,H1800_着工新設住宅戸数,H1801_着工新設持家数,H1802_着工新設貸家数,H1803_着工新設分譲住宅数,H1804_着工新設給与住宅数,H1810_着工新設持家・分譲住宅数,H2600_着工新設住宅床面積,H2601_着工新設持家床面積,H2602_着工新設分譲住宅床面積,H2603_着工新設貸家床面積,H2604_着工新設給与住宅床面積,H7207_軽自動車等台数,H7208_二輪の小型自動車台数,H7209_原動機付自転車台数,H720901_原動機付自転車台数（50ｃｃ以下）,H720902_原動機付自転車台数（50ｃｃ超90ｃｃ以下）,H720903_原動機付自転車台数（90ｃｃ超）,H720904_原動機付自転車台数（ミニカー）,H7210_軽自動車及び小型特殊自動車台数,H721001_二輪車台数（側車付のものを含む）,H721002_三輪車台数,H7701_テレビ放送受信契約数,H770101_衛星放送受信契約数,I5101_病院数,I510110_精神科病院数,I510120_一般病院数,I510150_療養病床を有する病院数,I5102_一般診療所数,I510201_有床一般診療所数,I5103_歯科診療所数,I5211_病院病床数,I5212_一般診療所病床数,I5511_介護老人保健施設数（基本票）,I5512_介護老人保健施設定員数（基本票）,J2221_保護施設数（基本票）（医療保護施設を除く）,J230127_介護老人福祉施設数（基本票）,J230128_介護老人福祉施設定員数（基本票）,J2304_老人福祉施設数（基本票）,J230411_養護老人ホーム数（基本票）,J230412_養護老人ホーム定員数（基本票）,J230421_有料老人ホーム数（基本票）,J230422_有料老人ホーム定員数（基本票）,J230431_軽費老人ホーム数（基本票）,J230432_軽費老人ホーム定員数（基本票）,J250204_児童福祉施設等数（基本票）,J250302_保育所等数（基本票）,J250303_公営保育所等数（基本票）,J2804_母子・父子福祉施設数（基本票）,J2905_障害者支援施設等数（基本票）,J2906_婦人保護施設数（基本票）,J4101_国民健康保険被保険者数
2019,青森県青森市,35757.706,153.96,105040,1,1,1,277378,129416,147962,1068,278446,1480,3566,6834,7523,6959,7623,136407,938,421,82461,82461,25927,0,342453121,123323,133870,8400,176,5778,1148,24,1638,43,885,12593,21,553,7081,0,0,0,0,0,0,13,8108,139170,75842,63328,130968,70669,60299,112987,14058,1286,2637,8202,5173,3029,105049,35246,69803,37118,13478,54453,3760,340,2910,1060,950,1220,1710,9010,5950,1350,400,26480,16580,20970,10980,15730,4510,40,14509,3956,19050,102763,107198,5328,2717,7744,4165,14626,71856,1998,33344,120015,63413,56602,6657,4467,2190,955,859,96,7612,5326,2286,134418,852,11062,42,2,1294,812,247,233,2,1045,130560,97134,21510,11659,257,98466,2799,6409,4608,658,1030,113,89258,2823,0,112297,56775,20,4,16,9,218,32,135,4360,484,14,1082,0,14,844,11,2,155,121,3939,7,214,162,89,0,0,22,0,59394
2019,青森県弘前市,21589.306,57.972,62433,1,0,1,167724,77558,90166,755,168479,1041,2435,4336,4630,4415,4772,79783,546,262,52420,52420,29399,0,196119221,69562,78957,14000,154,7257,877,10,617,35,598,7337,18,369,4101,0,0,0,0,0,0,9,5710,89796,46899,42897,85719,44465,41254,73112,9298,1542,1767,4077,2434,1643,61426,21195,40231,18417,10944,32065,10940,1080,1310,660,400,840,2400,5600,5070,720,230,11380,8120,13620,6070,9350,1910,110,13757,12316,13579,54242,60182,3159,2931,7765,7921,18617,40186,1384,18612,71927,35689,36238,9720,6328,3392,572,514,58,10292,6842,3450,94939,383,19512,15,4,904,459,222,219,4,678,90872,55624,22435,12256,557,78403,1577,6293,5137,401,619,136,70533,1547,0,68698,39719,15,3,12,5,163,39,93,3310,553,10,927,0,11,735,11,2,190,85,2486,4,140,101,65,0,0,12,0,41394
2019,青森県八戸市,28483.28,87.805,78842,1,1,1,224617,107578,117039,1228,225845,1378,2750,5895,6468,6010,6629,108385,843,349,30556,30556,20345,0,290108026,101819,112991,4810,328,14178,1028,16,849,42,757,10791,26,505,5758,0,0,0,0,0,0,14,7512,114320,63498,50822,108032,59622,48410,94365,11146,564,1957,6288,3876,2412,83080,29351,53729,28106,10909,44065,1960,1330,2510,1020,810,1020,1860,7480,5420,760,290,18950,13100,24350,9420,11460,4240,80,11455,3625,24286,77656,89982,5061,2064,5997,2899,10960,62191,1842,25949,96661,51781,44880,7164,4762,2402,2139,1856,283,9303,6618,2685,116047,2651,17318,28,3,1157,652,197,277,31,929,114211,76944,26458,9789,1020,81987,2143,5327,3796,564,876,91,74517,1867,1,90745,41522,21,5,16,6,162,25,95,3949,344,7,730,0,9,565,8,1,50,54,2004,5,170,105,81,0,0,10,0,47422
2019,青森県黒石市,4153.507,7.583,11634,0,0,0,32404,15203,17201,126,32530,165,488,594,824,610,836,13715,100,42,21705,21705,7291,0,31083447,13572,15561,3510,43,2678,209,2,61,4,93,1362,2,55,677,0,0,0,0,0,0,3,802,18419,9711,8708,17552,9125,8427,15349,1823,91,289,867,586,281,11579,3930,7649,3582,1744,6253,2300,350,170,160,90,290,110,1130,730,80,70,2060,1530,4070,1510,1810,390,40,2617,2780,4213,10066,12748,574,497,1879,1579,3955,8715,317,3716,10823,5289,5534,6275,3520,2755,178,161,17,6453,3681,2772,15802,28,4703,10,0,113,93,16,4,0,97,12965,11323,409,1233,0,17267,344,1182,953,82,102,45,15741,370,0,11936,5757,3,1,2,1,17,1,13,663,10,1,100,0,2,105,2,1,50,17,423,0,0,22,15,0,0,7,0,8595
2019,青森県五所川原市,7499.925,28.35,20772,0,0,1,53096,24395,28701,108,53204,251,799,1326,1551,1333,1558,25536,133,80,40420,40420,17136,1781,52638456,20946,24179,9280,61,1629,337,5,166,11,190,2146,6,117,1130,0,0,0,0,0,0,6,2149,27858,14679,13179,26206,13666,12540,22463,3227,77,439,1652,1013,639,20419,6831,13588,6582,2547,11290,2860,510,300,320,220,320,230,1620,1550,130,120,3510,2650,4540,2260,3250,550,10,3982,3704,5157,16512,18667,1085,823,2835,2185,5843,12528,416,5723,18988,9363,9625,6338,3697,2641,301,270,31,6639,3967,2672,26383,40,6816,2,3,218,128,42,48,0,176,23222,16283,4475,2464,0,27469,499,1503,1207,90,147,59,25467,545,0,20596,9261,6,1,5,4,42,4,22,1004,62,2,200,0,6,260,9,1,50,24,492,2,60,21,21,0,0,5,0,14353
2019,青森県十和田市,8662.595,8,22008,1,0,1,60007,28797,31210,338,60345,327,865,1511,1716,1559,1744,27575,190,99,72565,72565,19918,3663,73804815,26850,30199,12300,85,3248,294,3,145,16,251,2795,10,170,1536,0,0,0,0,0,0,4,1815,32489,17529,14960,31098,16671,14427,27285,3039,194,580,1391,858,533,21383,7726,13657,5764,3510,12109,3470,560,660,420,230,290,580,1870,1770,140,130,5040,3050,6070,2590,3520,550,20,4880,3767,6821,19263,23089,1340,770,2801,2103,5674,15816,430,6843,24654,12432,12222,5229,3479,1750,234,206,28,5463,3685,1778,31075,186,5440,1,1,319,189,63,66,1,255,33078,22736,6580,3598,164,34339,658,2652,2090,221,280,61,31029,652,0,24589,11986,5,2,3,0,41,9,22,988,86,4,400,2,3,230,1,0,0,18,712,1,30,30,28,0,0,4,0,14063
2019,青森県三沢市,8177.95,11.785,16278,0,0,0,38691,19246,19445,632,39323,323,404,1899,2236,1975,2262,18933,213,85,11987,11987,9782,0,55366021,18508,20277,3780,36,2362,270,3,306,7,143,2067,5,107,1081,0,0,0,0,0,0,2,1122,20456,11908,8548,19625,11361,8264,17413,1867,54,291,831,547,284,11788,3851,7937,4213,1567,6008,900,380,260,160,120,240,200,1070,770,170,40,2470,1470,3760,1610,1950,2600,20,2011,1344,4078,13225,15732,711,407,1151,801,2359,11373,314,4045,13913,7571,6342,4701,3103,1598,183,164,19,4884,3267,1617,21144,120,6403,1,1,233,95,124,14,0,109,19036,11314,1317,6405,0,17519,593,1018,736,72,173,37,15908,424,0,15779,5466,4,1,3,1,19,1,16,494,3,1,100,0,3,160,1,0,0,10,288,0,0,28,18,0,0,0,0,7997
2019,青森県むつ市,10238.818,12.8,22625,0,0,1,55773,27192,28581,158,55931,284,821,1891,2215,1920,2232,28740,195,107,86412,86412,13922,268,65999258,24011,27023,3130,41,1589,377,8,434,13,214,2524,9,158,1324,0,0,0,0,0,0,4,1522,28057,16375,11682,26565,15388,11177,23611,2517,45,392,1492,987,505,21858,7309,14549,8185,2007,11666,610,600,330,450,170,410,290,1390,1320,120,130,4010,2190,5540,2330,2600,3010,40,2937,1386,5591,19002,21784,904,698,1653,949,3300,14593,288,6903,23464,13059,10405,2145,1645,500,297,279,18,2442,1924,518,25630,122,1507,25,4,132,106,18,8,0,114,15517,13418,848,1251,0,22192,448,1465,1153,105,172,35,20279,474,0,24324,12764,3,0,3,1,34,6,20,584,80,3,209,0,6,334,3,1,50,15,436,1,20,19,15,0,0,5,0,12755
2019,青森県つがる市,4930.514,15,11432,0,0,0,31313,14722,16591,100,31413,135,490,581,823,595,832,13521,85,39,25355,25355,21362,125,26916145,11507,13797,14300,29,687,217,1,62,8,117,1194,5,81,722,0,0,0,0,0,0,1,457,16965,9265,7700,15881,8532,7349,13533,2120,22,206,1084,733,351,11669,3798,7871,3648,1242,6779,4240,290,120,140,150,140,50,590,600,30,30,1660,1080,2720,1340,1700,480,30,3132,4681,2872,7911,9576,420,564,2456,2561,5581,6300,207,3069,11072,5891,5181,4427,2388,2039,106,99,7,4533,2487,2046,14702,23,3354,3,1,114,62,50,2,0,64,11935,8423,220,3292,0,21151,374,1289,1069,64,104,52,19488,337,0,10860,5085,1,0,1,1,12,1,9,265,4,1,100,0,3,220,5,1,50,8,172,0,0,16,14,0,0,3,0,10001
2019,青森県平川市,4489.623,10,11318,0,0,0,30646,14419,16227,62,30708,151,484,597,658,607,672,12037,76,41,34601,34601,9533,0,27542301,11932,14276,5140,39,2857,225,1,22,9,129,1380,4,76,694,0,0,0,0,0,0,2,557,17648,9423,8225,16331,8519,7812,14196,1861,57,217,1317,904,413,10511,3451,7060,3076,1495,5940,3640,270,180,210,60,220,100,940,570,100,40,1900,1460,3530,1440,1630,180,10,3053,3972,3630,8641,10991,445,550,2137,2123,4810,7524,272,3195,9089,4723,4366,6970,3584,3386,187,168,19,7157,3752,3405,13512,28,4338,4,2,142,120,10,11,1,131,16414,14804,1020,547,43,17618,260,1345,1154,68,92,31,16013,301,0,10439,5924,0,0,0,0,19,2,9,0,38,3,280,0,2,125,1,0,0,3,68,1,20,15,13,0,0,4,0,8040
2019,青森県平内町,1737.401,4,4475,0,0,0,10599,5076,5523,40,10639,33,173,151,246,155,246,4850,21,5,21709,21709,4666,0,11728347,4493,5214,1530,21,444,97,1,11,3,49,407,3,39,210,0,0,0,0,0,0,2,33,5995,3221,2774,5745,3050,2695,4947,676,13,109,250,171,79,4029,1476,2553,1209,416,2404,1390,140,50,80,30,60,20,220,180,30,20,760,470,1090,490,550,80,10,1219,1591,1174,2931,3600,151,256,727,980,1963,2355,75,1170,4187,2113,2074,1468,870,598,49,47,2,1517,917,600,4857,3,629,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4831,102,358,294,25,35,4,4371,92,1,4198,2221,1,0,1,1,6,0,3,96,0,0,0,1,2,80,1,0,0,1,30,1,15,7,6,0,0,3,0,3677
2019,青森県今別町,539.249,0,1345,0,0,0,2490,1200,1290,5,2495,7,64,52,77,53,77,1396,3,0,12527,12527,1808,0,1739670,759,971,564,1,5,42,0,0,1,9,36,1,13,34,0,0,0,0,0,0,1,16,1178,720,458,1081,646,435,943,120,0,18,97,74,23,1437,492,945,571,60,806,140,10,10,20,10,30,10,40,50,0,10,140,60,220,150,140,30,0,266,145,322,609,757,42,30,169,78,277,510,12,235,787,491,296,249,113,136,41,39,2,290,152,138,998,32,207,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1228,14,162,146,5,8,3,1052,13,0,1203,464,0,0,0,0,3,1,1,0,19,0,0,0,1,50,0,0,0,1,29,0,0,1,1,0,0,1,0,751
2019,青森県蓬田村,408,0,1139,0,0,0,2685,1304,1381,2,2687,3,51,27,55,27,55,1138,2,3,8084,8084,1960,0,2416941,1047,1254,1170,1,211,49,0,0,1,16,123,1,12,64,0,0,0,0,0,0,0,0,1497,829,668,1411,765,646,1177,205,1,28,86,64,22,1077,362,715,331,117,629,350,30,10,10,10,20,10,50,40,0,10,160,90,310,120,160,20,0,291,409,314,686,913,27,78,180,211,469,628,8,277,878,456,422,523,300,223,5,5,0,528,305,223,1223,0,340,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1780,26,159,142,6,10,1,1595,29,0,923,456,0,0,0,0,2,0,1,0,0,0,0,0,1,50,0,0,0,1,21,0,0,1,1,0,0,0,0,857
2019,青森県外ヶ浜町,1104.968,0,2840,0,0,0,5685,2730,2955,49,5734,7,121,98,163,114,164,2774,6,3,23030,23030,3031,0,4772529,1899,2342,768,6,114,72,0,0,2,21,131,2,22,81,0,0,0,0,0,0,0,0,2760,1607,1153,2597,1476,1121,2158,372,2,65,163,131,32,2975,1020,1955,1014,154,1807,420,110,30,70,20,50,10,80,90,10,30,290,150,460,280,350,90,0,579,599,533,1455,1728,87,147,328,304,779,1071,11,646,2080,1160,920,495,299,196,13,12,1,508,311,197,2713,25,624,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2561,32,218,194,15,9,0,2311,36,0,2791,1364,1,0,1,0,7,0,1,44,0,1,40,0,2,80,0,0,0,0,0,0,0,1,1,0,0,2,0,1800
2019,青森県鰺ヶ沢町,1728.321,4,3937,0,0,0,9441,4428,5013,31,9472,25,208,168,242,168,243,4494,18,11,34308,34308,7984,0,7566315,3208,3966,3250,11,176,99,0,0,2,31,296,1,17,181,0,0,0,0,0,0,1,51,4971,2690,2281,4672,2480,2192,3983,623,6,60,299,210,89,4260,1459,2801,1209,352,2699,820,170,60,80,30,70,20,240,190,30,30,610,390,750,460,570,90,0,884,1050,839,2777,3162,129,214,565,594,1373,2016,47,1099,3388,1757,1631,1238,685,553,37,33,4,1275,718,557,4323,4,926,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5603,61,388,327,21,32,8,5154,92,0,4084,1981,1,0,1,0,5,1,3,100,19,1,100,0,1,50,1,0,0,3,60,1,30,5,5,1,0,1,0,3108
2019,青森県深浦町,1379.164,1,3832,0,0,0,7766,3670,4096,21,7787,20,175,104,180,104,180,3644,9,6,48890,48890,6498,0,5556777,2551,3102,1460,7,98,94,0,0,3,37,209,3,32,139,0,0,0,0,0,0,1,49,3847,2220,1627,3670,2091,1579,3097,517,0,56,177,129,48,3908,1323,2585,1288,247,2373,640,290,40,60,30,30,10,130,140,10,20,390,230,510,420,580,70,0,782,920,743,2005,2435,139,131,619,340,1090,1577,26,832,3205,1829,1376,375,201,174,77,51,26,452,252,200,3502,19,284,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3858,35,282,236,20,19,7,3541,35,0,3448,2073,0,0,0,0,6,0,2,0,0,1,100,0,2,80,0,0,0,0,0,0,0,8,8,0,0,0,0,2551
2019,青森県西目屋村,254.999,0,619,0,0,0,1327,624,703,0,1327,4,27,15,25,15,25,554,3,3,24602,24602,1997,0,943580,438,564,363,1,12,32,0,0,1,14,67,0,0,0,0,0,0,0,0,0,0,0,837,496,341,806,476,330,703,89,3,11,31,20,11,436,137,299,99,54,283,200,30,10,0,0,10,0,50,20,0,10,70,40,160,120,80,20,0,202,222,222,357,554,23,16,111,102,229,387,8,159,488,304,184,313,169,144,3,3,0,316,172,144,749,14,259,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913,9,85,77,2,1,5,819,6,0,576,274,0,0,0,0,1,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,1,1,0,0,0,0,333
2019,青森県藤崎町,2204.069,4,5802,0,0,0,14789,6917,7872,23,14812,98,213,337,395,348,403,6088,43,19,3729,3729,3729,0,14085354,5989,6990,2540,8,486,103,1,11,3,54,692,2,34,352,0,0,0,0,0,0,0,0,8467,4458,4009,8054,4181,3873,6988,946,32,88,413,277,136,4770,1527,3243,1407,644,2719,1500,250,90,70,70,50,60,470,360,20,10,1060,780,1540,660,850,160,0,1376,1924,1565,4501,5517,211,326,907,1032,2265,3788,127,1602,3853,1962,1891,4086,2141,1945,45,40,5,4131,2181,1950,6402,11,2479,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8343,178,448,366,26,42,14,7717,147,1,5161,2900,1,0,1,1,8,1,7,149,19,1,100,0,2,110,3,0,0,4,99,1,30,7,7,0,0,0,0,3914
2019,青森県大鰐町,1569.069,4,4143,0,0,0,9179,4211,4968,3,9182,35,171,152,225,152,225,4184,28,13,16343,16343,3671,0,7123754,3332,4077,1590,8,294,68,0,0,1,20,257,1,19,148,0,0,0,0,0,0,0,0,5103,2727,2376,4783,2521,2262,4175,515,21,72,320,206,114,3753,1241,2512,1089,348,2316,890,110,40,70,20,70,30,250,170,20,20,550,420,990,400,570,80,10,1007,1056,958,2752,3294,125,182,590,573,1345,2143,57,1094,2448,1220,1228,2261,1243,1018,58,50,8,2319,1293,1026,3301,5,837,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4959,80,399,348,16,26,9,4480,72,0,3746,2267,1,0,1,0,6,0,2,30,0,0,0,0,1,50,1,0,0,3,102,0,0,4,3,0,0,2,0,2544
2019,青森県田舎館村,1098.036,2.666,3109,0,0,0,7687,3638,4049,12,7699,49,125,191,205,191,205,2822,21,12,2235,2235,2235,0,7009640,3101,3658,1450,28,1038,63,0,0,1,22,364,1,18,170,0,0,0,0,0,0,0,0,4250,2301,1949,4049,2164,1885,3546,449,15,39,201,137,64,2622,899,1723,802,322,1498,810,60,40,30,30,40,40,260,160,10,20,490,340,900,320,380,60,10,718,900,946,2195,2862,112,115,518,431,1064,2028,64,770,1636,896,740,2374,1235,1139,28,27,1,2402,1262,1140,2855,3,1208,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4414,71,258,225,10,18,5,4085,79,0,2490,1469,0,0,0,0,2,1,1,0,19,0,0,0,0,0,2,0,0,5,96,0,0,4,3,0,0,0,0,1881
2019,青森県板柳町,2037.83,3,4946,0,0,0,13187,6065,7122,24,13211,59,228,251,331,258,333,5435,36,21,4188,4188,4188,0,10895677,4820,5790,3020,9,335,82,0,0,4,52,529,1,26,288,0,0,0,0,0,0,1,93,8272,4298,3974,7897,4065,3832,6921,851,26,99,375,233,142,4131,1278,2853,1149,600,2382,2770,200,60,60,50,60,40,350,230,20,30,780,660,1210,480,720,90,10,1955,2999,1255,3633,4297,206,480,1302,1601,3383,2827,93,1377,4997,2519,2478,2854,1504,1350,33,33,0,2887,1537,1350,6509,3,1499,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8738,168,552,473,18,42,19,8018,123,0,4648,2323,1,0,1,1,5,2,7,80,36,0,0,0,1,80,1,0,0,11,225,1,30,6,6,0,0,0,0,4374
2019,青森県鶴田町,2158.824,1,4964,0,0,0,12484,5869,6615,15,12499,48,189,219,276,223,276,5396,18,20,4643,4643,4523,0,10247922,4376,5195,2940,10,609,82,1,27,1,37,543,1,25,300,0,0,0,0,0,0,1,74,7500,4040,3460,7096,3776,3320,6102,897,23,74,404,264,140,4316,1392,2924,1300,656,2360,2370,170,80,50,60,80,10,300,240,20,10,750,490,1330,480,800,90,0,1611,2475,1311,3301,4160,180,348,1080,1316,2744,2709,98,1353,4216,2247,1969,2851,1507,1344,17,16,1,2868,1523,1345,5746,2,1518,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8022,162,479,391,18,45,25,7381,106,0,4362,2088,0,0,0,0,6,0,3,0,0,1,100,0,1,70,0,0,0,6,124,0,0,7,6,0,0,2,0,4073
2019,青森県中泊町,1863.901,2,4420,0,0,0,10488,4935,5553,80,10568,33,230,147,278,167,280,4998,26,16,21634,21634,6753,0,9082722,3763,4517,3680,10,184,90,0,0,4,47,341,2,29,195,0,0,0,0,0,0,1,27,5298,3138,2160,4744,2753,1991,4031,603,6,104,554,385,169,4797,1522,3275,1505,394,2898,990,120,80,40,60,90,10,180,150,10,40,500,310,910,530,570,100,10,891,1122,1322,2251,3034,182,188,766,499,1453,2181,60,793,3341,2009,1332,1222,605,617,110,95,15,1332,700,632,4262,2,850,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6728,123,530,465,25,31,9,6075,78,1,4093,1596,0,0,0,0,9,0,3,0,0,0,0,0,2,80,2,0,0,3,43,0,0,4,4,0,0,3,0,3321
2019,青森県野辺地町,2057.608,5,5476,0,0,0,12721,5990,6731,173,12894,35,200,271,346,282,349,6314,42,23,8168,8168,2744,0,14163987,5568,6358,647,9,435,93,1,36,3,47,508,1,24,274,0,0,0,0,0,0,2,423,6652,3653,2999,6284,3407,2877,5599,610,10,65,368,246,122,5291,1799,3492,1445,500,3346,260,200,80,110,60,120,40,540,320,20,40,890,520,1470,690,710,220,20,819,492,1609,4133,5103,230,194,402,311,907,3402,85,1616,4207,1947,2260,1964,1373,591,65,60,5,2029,1433,596,5373,13,1118,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5129,133,470,379,31,58,2,4526,112,0,5525,2672,1,0,1,1,6,3,8,151,40,2,140,0,1,50,1,0,0,4,62,0,0,5,4,0,0,1,0,3111
2019,青森県七戸町,2367.646,5,5444,0,0,0,15072,7222,7850,71,15143,64,302,318,373,330,375,6753,39,18,33723,33723,11631,0,15136494,6024,7160,6960,27,593,115,0,0,3,55,617,2,38,312,0,0,0,0,0,0,1,331,8277,4502,3775,7894,4248,3646,6952,838,15,89,383,254,129,5749,2082,3667,1425,620,3704,1240,220,170,130,50,70,50,400,330,30,50,970,540,1590,880,810,190,40,1567,1480,1783,4586,5602,281,210,961,770,1941,3892,142,1568,5196,2615,2581,2580,1544,1036,66,60,6,2646,1604,1042,7163,16,1915,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10464,183,1063,885,78,85,15,9218,190,0,5696,2582,1,0,1,0,6,1,4,110,19,1,100,0,2,120,1,0,0,2,79,0,0,9,6,0,0,3,0,3764
2019,青森県六戸町,1597.699,0,3679,0,0,0,10858,5316,5542,90,10948,66,140,308,330,320,333,4455,27,17,8389,8389,5708,0,11820259,4532,5217,3460,18,397,68,2,19,3,50,591,2,32,256,0,0,0,0,0,0,1,168,5621,3109,2512,5378,2942,2436,4659,639,9,71,243,167,76,3355,1144,2211,1036,417,1902,880,130,70,30,60,70,40,270,190,20,20,730,390,1280,480,560,150,10,945,1105,1335,2904,3827,202,165,568,584,1317,2647,94,1086,2460,1315,1145,2845,1574,1271,36,31,5,2881,1605,1276,4185,12,1688,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7416,152,564,415,77,59,13,6700,154,0,3857,1708,0,0,0,0,6,2,3,0,28,0,0,0,1,70,2,1,70,3,67,0,0,6,4,0,0,1,0,2611
2019,青森県横浜町,662,1,1746,0,0,0,4301,2181,2120,75,4376,14,74,100,119,116,121,2026,20,3,12638,12638,3068,0,4680555,1736,2037,2190,6,625,56,1,6,1,17,158,1,13,90,0,0,0,0,0,0,0,0,2411,1412,999,2308,1347,961,2026,241,3,38,103,65,38,1674,557,1117,393,171,1110,470,160,20,30,10,10,10,100,70,10,20,280,120,550,170,200,50,0,419,753,580,947,1556,57,80,273,323,676,1045,23,488,1674,888,786,575,413,162,27,25,2,602,438,164,2437,5,731,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2322,32,119,96,9,11,3,2171,45,0,1726,882,0,0,0,0,2,0,1,0,0,0,0,0,1,80,1,0,0,1,65,0,0,3,2,0,0,0,0,1299
2019,青森県東北町,2506.006,2,5625,0,0,0,17008,8274,8734,146,17154,103,287,312,421,346,432,7160,43,22,32650,32650,11491,6355,16853598,6765,7980,8100,17,339,122,0,0,3,54,733,2,34,379,0,0,0,0,0,0,0,0,9444,5200,4244,9004,4897,4107,7932,939,10,123,440,303,137,6294,2188,4106,1494,689,4111,1760,280,110,120,40,120,40,370,320,40,30,1070,500,1750,1070,930,270,20,1636,2268,2087,4567,6069,306,255,1079,1205,2539,4314,109,1646,5835,2995,2840,3023,1793,1230,63,60,3,3086,1853,1233,7847,15,1929,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12435,177,984,852,52,55,25,11274,183,0,6348,3780,1,0,1,1,9,1,5,110,13,0,0,0,2,162,3,0,0,9,284,1,30,13,12,0,0,3,0,4516
