subclass,都道府県市区町村,UC有無,inoue_ratio_change,投票者数,total_vote,x
180,兵庫県西宮市,1,0.056397723,214148,382361,250
180,大阪府高槻市,0,0.043608425,168213,382361,250
69,東京都北区,1,0.083784963,170406,430971,251
69,東京都板橋区,0,0.056640042,260565,430971,251
49,千葉県船橋市,1,0.071175249,266973,470933,252
49,千葉県市川市,0,0.128790137,203960,470933,252
67,東京都杉並区,1,0.110044266,282201,479125,253
67,東京都品川区,0,-0.006231859,196924,479125,253
61,東京都江東区,1,0.026121767,246372,506937,254
61,東京都板橋区,0,0.056640042,260565,506937,254
74,東京都江戸川区,1,0.084650485,291942,516985,255
74,埼玉県川口市,0,0.122060328,225043,516985,255
72,東京都足立区,1,0.17907906,293803,518846,256
72,埼玉県川口市,0,0.122060328,225043,518846,256
71,東京都練馬区,1,0.141027094,346688,550648,257
71,千葉県市川市,0,0.128790137,203960,550648,257
63,東京都大田区,1,-0.123539108,344291,604856,258
63,東京都板橋区,0,0.056640042,260565,604856,258
64,東京都世田谷区,1,0.082633451,463134,723699,259
64,東京都板橋区,0,0.056640042,260565,723699,259
