subclass,都道府県市区町村,UC有無,inoue_ratio_change,投票者数,total_vote,x
172,大阪府大阪市大正区,0,0.073471538,27721,76992,51
223,愛媛県四国中央市,1,0.229130499,33317,77226,52
223,愛媛県西条市,0,0.469924669,43909,77226,52
117,長野県安曇野市,1,0.19286764,47295,77652,53
117,新潟県新潟市北区,0,0.191061928,30357,77652,53
116,長野県佐久市,1,0.205255828,47192,78572,54
116,長野県塩尻市,0,0.269539522,31380,78572,54
247,鹿児島県姶良市,1,0.334160559,31284,78881,55
247,鹿児島県霧島市,0,0.277905014,47597,78881,55
213,山口県周南市,1,0.203328803,55934,79467,56
213,山口県山陽小野田市,0,0.391107232,23533,79467,56
104,富山県射水市,1,0.466012678,39676,80933,57
104,滋賀県甲賀市,0,0.082414164,41257,80933,57
245,宮崎県都城市,1,0.187674871,58745,82202,58
245,宮崎県日向市,0,-0.060252912,23457,82202,58
114,長野県飯田市,1,0.123560719,49363,82222,59
114,長野県伊那市,0,0.195670581,32859,82222,59
155,滋賀県彦根市,1,0.216127274,47044,82663,60
155,滋賀県近江八幡市,0,0.163653656,35619,82663,60
173,大阪府藤井寺市,1,0.428627839,28133,85068,61
173,大阪府堺市西区,0,0.097274672,56935,85068,61
209,山口県宇部市,1,0.471196605,61866,85399,62
209,山口県山陽小野田市,0,0.391107232,23533,85399,62
27,栃木県足利市,1,0.151968055,54719,85487,63
27,群馬県館林市,0,0.135431866,30768,85487,63
153,三重県名張市,1,0.130240006,35102,86389,64
153,広島県広島市安佐北区,0,0.519866541,51287,86389,64
199,岡山県総社市,1,0.384469852,26415,88209,65
199,三重県桑名市,0,0.078114155,61794,88209,65
152,三重県伊勢市,1,0.104051579,53750,90472,66
152,岡山県岡山市東区,0,0.237578462,36722,90472,66
164,大阪府堺市堺区,1,0.179277085,62464,90674,67
164,大阪府大阪市此花区,0,-0.009683198,28210,90674,67
50,千葉県木更津市,1,0.129518061,52051,90832,68
50,千葉県四街道市,0,0.211868796,38781,90832,68
222,愛媛県新居浜市,1,0.507402677,47638,91547,69
222,愛媛県西条市,0,0.469924669,43909,91547,69
2,青森県弘前市,1,0.163441781,69054,91759,70
2,青森県五所川原市,0,0.004187654,22705,91759,70
31,栃木県那須塩原市,1,0.031789781,43763,93750,71
31,茨城県古河市,0,-0.008565455,49987,93750,71
122,岐阜県高山市,1,0.475230814,45740,93943,72
122,岐阜県多治見市,0,0.068269436,48203,93943,72
42,埼玉県加須市,1,0.325420024,42770,94849,73
42,埼玉県深谷市,0,0.046344874,52079,94849,73
147,愛知県犬山市,1,0.401081538,33534,95328,74
147,三重県桑名市,0,0.078114155,61794,95328,74
18,福島県会津若松市,1,0.157747828,51546,95455,75
18,愛媛県西条市,0,0.469924669,43909,95455,75
148,愛知県江南市,1,0.398184007,43513,95592,76
148,埼玉県深谷市,0,0.046344874,52079,95592,76
28,栃木県栃木市,1,0.032774584,58108,96246,77
28,茨城県筑西市,0,0.05747468,38138,96246,77
40,埼玉県行田市,1,0.077624661,32981,96952,78
40,埼玉県入間市,0,0.119932665,63971,96952,78
127,静岡県浜松市浜北区,1,0.119089625,43713,98131,79
127,静岡県掛川市,0,0.116842432,54418,98131,79
200,広島県広島市中区,1,0.583688805,52249,99628,80
200,京都府京都市中京区,0,-0.02696029,47379,99628,80
258,北海道苫小牧市,1,0.218263942,66498,99844,81
258,北海道恵庭市,0,0.026667551,33346,99844,81
205,広島県尾道市,1,0.423128016,52131,100334,82
205,岐阜県多治見市,0,0.068269436,48203,100334,82
161,大阪府大阪市阿倍野区,1,0.141882507,53854,100427,83
161,愛知県名古屋市瑞穂区,0,0.203212908,46573,100427,83
15,山形県米沢市,1,-0.066692576,39399,102012,84
15,山形県鶴岡市,0,0.067634012,62613,102012,84
47,千葉県千葉市稲毛区,1,0.144909691,68878,102300,85
47,埼玉県志木市,0,0.091979876,33422,102300,85
36,埼玉県さいたま市大宮区,1,0.02258479,54887,102591,86
36,埼玉県さいたま市中央区,0,0.093142951,47704,102591,86
149,愛知県東海市,1,0.178173412,46644,103622,87
149,静岡県浜松市東区,0,0.158800906,56978,103622,87
113,長野県上田市,1,0.336039581,71281,104140,88
113,長野県伊那市,0,0.195670581,32859,104140,88
255,北海道釧路市,1,0.059075447,67485,104578,89
255,北海道室蘭市,0,0.031793729,37093,104578,89
13,秋田県横手市,1,0.08508904,42245,104858,90
13,山形県鶴岡市,0,0.067634012,62613,104858,90
7,岩手県一関市,1,0.200735277,52662,106300,91
7,岩手県奥州市,0,0.075966248,53638,106300,91
220,愛媛県今治市,1,0.207863571,63334,107243,92
220,愛媛県西条市,0,0.469924669,43909,107243,92
259,北海道江別市,1,0.096420627,58010,107924,93
259,静岡県三島市,0,0.087291743,49914,107924,93
190,鳥取県米子市,1,0.471762472,55882,108751,94
190,福岡県飯塚市,0,0.055198773,52869,108751,94
192,島根県松江市,1,0.327386532,87186,109260,95
192,山口県光市,0,0.335270995,22074,109260,95
162,大阪府大阪市住吉区,1,0.263568573,67489,109273,96
162,大阪府大阪市旭区,0,0.048010148,41784,109273,96
6,岩手県花巻市,1,0.258205081,46784,109397,97
6,山形県鶴岡市,0,0.067634012,62613,109397,97
196,岡山県岡山市中区,1,0.208949812,56522,109808,98
196,広島県広島市佐伯区,0,0.32956508,53286,109808,98
94,神奈川県伊勢原市,1,0.300160488,44934,110183,99
94,神奈川県海老名市,0,0.181675437,65249,110183,99
131,静岡県藤枝市,1,0.353853117,64040,110463,100
131,静岡県島田市,0,0.127937966,46423,110463,100
78,東京都昭島市,1,0.197980466,51391,111512,101
78,滋賀県草津市,0,0.21020156,60121,111512,101
16,山形県酒田市,1,-0.110627841,49963,112576,102
16,山形県鶴岡市,0,0.067634012,62613,112576,102
30,栃木県真岡市,1,0.2495282,30235,113093,103
30,三重県鈴鹿市,0,0.286766659,82858,113093,103
226,福岡県北九州市小倉北区,1,0.064517261,65563,114479,104
226,大阪府大阪市都島区,0,0.06471292,48916,114479,104
48,千葉県千葉市若葉区,1,0.342655223,57786,114568,105
48,神奈川県座間市,0,0.236565675,56782,114568,105
10,宮城県塩竈市,1,0.161175728,22917,115106,106
10,兵庫県神戸市北区,0,0.014886787,92189,115106,106
197,岡山県岡山市南区,1,0.44394874,62160,115446,107
197,広島県広島市佐伯区,0,0.32956508,53286,115446,107
183,奈良県大和郡山市,1,0.16521383,39366,115691,108
183,京都府宇治市,0,-0.029763355,76325,115691,108
144,愛知県刈谷市,1,-0.023279964,73606,116754,109
144,愛知県大府市,0,0.056393015,43148,116754,109
201,広島県広島市西区,1,0.53107058,71199,116760,110
201,広島県広島市東区,0,0.009703222,45561,116760,110
189,鳥取県鳥取市,1,1.016899449,68852,117918,111
189,広島県廿日市市,0,0.381276087,49066,117918,111
96,新潟県新潟市西区,1,0.166059846,68865,117931,112
96,広島県廿日市市,0,0.381276087,49066,117931,112
140,愛知県瀬戸市,1,0.14247688,56355,118149,113
140,三重県桑名市,0,0.078114155,61794,118149,113
239,熊本県熊本市東区,1,0.30447058,70298,118692,114
239,福岡県春日市,0,-0.095908,48394,118692,114
160,大阪府大阪市東淀川区,1,0.159626669,70685,119601,115
160,大阪府大阪市都島区,0,0.06471292,48916,119601,115
176,兵庫県神戸市須磨区,1,0.032224587,71465,120128,116
176,大阪府池田市,0,0.154518699,48663,120128,116
194,島根県出雲市,1,0.150300725,77931,120643,117
194,石川県小松市,0,0.184488829,42712,120643,117
168,大阪府守口市,1,0.101664326,64065,121000,118
168,大阪府堺市西区,0,0.097274672,56935,121000,118
252,北海道札幌市手稲区,1,0.161574161,68838,122997,119
252,北海道札幌市清田区,0,0.15477758,54159,122997,119
124,岐阜県各務原市,1,0.230616678,62223,124067,120
124,茨城県ひたちなか市,0,-0.002779015,61844,124067,120
56,千葉県我孫子市,1,0.090435816,61226,125197,121
56,埼玉県入間市,0,0.119932665,63971,125197,121
95,新潟県新潟市東区,1,0.168898326,55549,127117,122
95,神奈川県横浜市泉区,0,0.053516127,71568,127117,122
70,東京都荒川区,1,0.105073125,95840,127624,123
70,埼玉県蕨市,0,0.042438023,31784,127624,123
126,静岡県浜松市南区,1,0.196586646,45458,128316,124
126,三重県鈴鹿市,0,0.286766659,82858,128316,124
121,岐阜県大垣市,1,0.339297025,66675,128469,125
121,三重県桑名市,0,0.078114155,61794,128469,125
100,新潟県上越市,1,0.179582963,88367,128669,126
100,新潟県柏崎市,0,-0.06013705,40302,128669,126
128,静岡県沼津市,1,0.123019279,79038,128952,127
128,静岡県三島市,0,0.087291743,49914,128952,127
184,奈良県橿原市,1,0.220767955,52684,128980,128
184,大阪府和泉市,0,0.113997553,76296,128980,128
130,静岡県磐田市,1,0.159939187,74953,129371,129
130,静岡県掛川市,0,0.116842432,54418,129371,129
207,広島県東広島市,1,0.373571345,68568,130362,130
207,三重県桑名市,0,0.078114155,61794,130362,130
136,愛知県名古屋市名東区,1,0.396586508,66421,131482,131
136,愛知県名古屋市天白区,0,0.283134331,65061,131482,131
256,北海道帯広市,1,0.149877183,71567,136990,132
256,北海道札幌市厚別区,0,0.114860867,65423,136990,132
23,茨城県日立市,1,0.09287763,69537,137296,133
23,埼玉県狭山市,0,0.097370598,67759,137296,133
208,山口県下関市,1,0.626900929,98492,137464,134
208,福岡県北九州市門司区,0,-0.128511208,38972,137464,134
142,愛知県豊川市,1,0.011901194,81307,138534,135
142,愛知県稲沢市,0,0.243752885,57227,138534,135
146,愛知県安城市,1,0.009225727,89990,139437,136
146,愛知県半田市,0,0.19595433,49447,139437,136
3,青森県八戸市,1,0.173554202,91945,139995,137
3,宮崎県延岡市,0,0.032397346,48050,139995,137
77,東京都武蔵野市,1,0.080034326,77473,140177,138
77,東京都小金井市,0,0.153093682,62704,140177,138
157,京都府京都市右京区,1,-0.105318016,79475,140249,139
157,京都府京都市西京区,0,0.015996293,60774,140249,139
202,広島県広島市安佐南区,1,0.518570477,87815,141101,140
202,広島県広島市佐伯区,0,0.32956508,53286,141101,140
170,大阪府八尾市,1,0.206731861,112222,142197,141
170,大阪府柏原市,0,0.175681597,29975,142197,141
81,東京都東村山市,1,0.213255922,72072,143818,142
81,東京都多摩市,0,-0.059426649,71746,143818,142
175,兵庫県神戸市東灘区,1,-0.006688745,95877,144540,143
175,大阪府池田市,0,0.154518699,48663,144540,143
29,栃木県小山市,1,-0.007499629,62131,144989,144
29,三重県鈴鹿市,0,0.286766659,82858,144989,144
214,徳島県徳島市,1,0.337184624,92454,145323,145
214,福岡県飯塚市,0,0.055198773,52869,145323,145
46,千葉県千葉市中央区,1,0.155161244,86123,145578,146
46,愛知県名古屋市西区,0,0.24532346,59455,145578,146
229,福岡県福岡市早良区,1,0.041707426,92516,145635,147
229,福岡県福岡市城南区,0,0.052064091,53119,145635,147
236,長崎県佐世保市,1,0.147090055,93433,146302,148
236,福岡県飯塚市,0,0.055198773,52869,146302,148
39,埼玉県熊谷市,1,0.112253078,78730,146489,149
39,埼玉県狭山市,0,0.097370598,67759,146489,149
93,神奈川県小田原市,1,-1.391034227,83615,151374,150
93,埼玉県狭山市,0,0.097370598,67759,151374,150
129,静岡県富士市,1,0.152614554,99735,152038,151
129,静岡県富士宮市,0,0.068355894,52303,152038,151
34,群馬県伊勢崎市,1,0.415705652,69788,152646,152
34,三重県鈴鹿市,0,0.286766659,82858,152646,152
55,千葉県八千代市,1,0.275257888,82554,153866,153
55,埼玉県新座市,0,0.101390769,71312,153866,153
158,京都府京都市伏見区,1,-0.015729363,102371,154027,154
158,京都府京都市山科区,0,0.007433154,51656,154027,154
125,静岡県静岡市葵区,1,0.161469447,106518,156432,155
125,静岡県三島市,0,0.087291743,49914,156432,155
112,長野県松本市,1,0.365276975,108591,158505,156
112,静岡県三島市,0,0.087291743,49914,158505,156
22,茨城県水戸市,1,0.007107354,108788,158702,157
22,静岡県三島市,0,0.087291743,49914,158702,157
228,福岡県福岡市南区,1,0.245792561,106196,159315,158
228,福岡県福岡市城南区,0,0.052064091,53119,159315,158
254,北海道旭川市,1,0.254033771,136810,159515,159
254,青森県五所川原市,0,0.004187654,22705,159515,159
253,北海道函館市,1,0.030117152,109049,161003,160
253,北海道小樽市,0,0.054305695,51954,161003,160
135,愛知県名古屋市緑区,1,0.241188189,105411,162389,161
135,静岡県浜松市東区,0,0.158800906,56978,162389,161
54,千葉県市原市,1,0.155245068,107827,162902,162
54,千葉県野田市,0,0.072482355,55075,162902,162
1,青森県青森市,1,0.120621117,114887,162937,163
1,宮崎県延岡市,0,0.032397346,48050,162937,163
35,群馬県太田市,1,0.288910411,81829,164687,164
35,三重県鈴鹿市,0,0.286766659,82858,164687,164
134,愛知県名古屋市昭和区,1,0.095126613,46171,166456,165
134,東京都文京区,0,0.00914777,120285,166456,165
231,福岡県久留米市,1,0.271714685,114778,167647,166
231,福岡県飯塚市,0,0.055198773,52869,167647,166
88,神奈川県川崎市高津区,1,0.464728147,104995,168093,167
88,埼玉県朝霞市,0,0.118677608,63098,168093,167
224,高知県高知市,1,0.121530958,120863,168913,168
224,宮崎県延岡市,0,0.032397346,48050,168913,168
165,大阪府岸和田市,1,0.175031692,70959,171552,169
165,大阪府寝屋川市,0,0.096857392,100593,171552,169
248,沖縄県那覇市,1,0.222269174,133881,173135,170
248,長崎県大村市,0,0.075713825,39254,173135,170
82,東京都西東京市,1,0.292855387,99951,175292,171
82,神奈川県横浜市磯子区,0,-0.178330172,75341,175292,171
210,山口県山口市,1,0.290503219,74882,175961,172
210,兵庫県神戸市西区,0,0.029455547,101079,175961,172
20,福島県いわき市,1,0.396325045,125223,178861,173
20,岩手県奥州市,0,0.075966248,53638,178861,173
79,東京都調布市,1,0.118666834,113629,179658,174
79,東京都国分寺市,0,0.057493781,66029,179658,174
150,三重県津市,1,0.197294613,115184,182004,175
150,三重県松阪市,0,0.039424719,66820,182004,175
108,福井県福井市,1,0.263046294,111949,182423,176
108,富山県高岡市,0,0.515803028,70474,182423,176
5,岩手県盛岡市,1,-0.028745635,132831,182745,177
5,静岡県三島市,0,0.087291743,49914,182745,177
110,山梨県甲府市,1,0.205232253,82777,183856,178
110,兵庫県神戸市西区,0,0.029455547,101079,183856,178
38,埼玉県川越市,1,0.127337828,144246,186395,179
38,埼玉県東松山市,0,0.088719961,42149,186395,179
52,千葉県佐倉市,1,0.159942984,78167,186751,180
52,神奈川県平塚市,0,0.041210593,108584,186751,180
97,新潟県長岡市,1,0.237486594,124636,187249,181
97,山形県鶴岡市,0,0.067634012,62613,187249,181
238,熊本県熊本市中央区,1,0.150375654,67164,187449,182
238,東京都文京区,0,0.00914777,120285,187449,182
132,愛知県名古屋市千種区,1,0.160507726,67315,187600,183
132,東京都文京区,0,0.00914777,120285,187600,183
203,広島県呉市,1,0.428964253,88978,190057,184
203,兵庫県神戸市西区,0,0.029455547,101079,190057,184
65,東京都渋谷区,1,0.036441974,109189,193134,185
65,福岡県福岡市博多区,0,0.048625727,83945,193134,185
181,兵庫県加古川市,1,0.082224424,103292,195207,186
181,埼玉県春日部市,0,0.148638357,91915,195207,186
233,佐賀県佐賀市,1,0.541806823,95462,196541,187
233,兵庫県神戸市西区,0,0.029455547,101079,196541,187
89,神奈川県川崎市宮前区,1,0.314283502,107348,196713,188
89,神奈川県川崎市麻生区,0,0.133408429,89365,196713,188
8,宮城県仙台市宮城野区,1,0.218558402,74557,198661,189
8,福岡県福岡市東区,0,-0.08862575,124104,198661,189
84,神奈川県横浜市金沢区,1,0.091515514,95378,198804,190
84,神奈川県横浜市港南区,0,0.069264904,103426,198804,190
186,和歌山県和歌山市,1,0.156304081,150131,203000,191
186,福岡県飯塚市,0,0.055198773,52869,203000,191
250,北海道札幌市白石区,1,0.21479808,92160,204111,192
250,北海道札幌市東区,0,0.212989726,111951,204111,192
76,東京都立川市,1,0.25296642,82040,206144,193
76,福岡県福岡市東区,0,-0.08862575,124104,206144,193
163,大阪府大阪市淀川区,1,0.134392872,77653,208705,194
163,東京都墨田区,0,0.050243761,131052,208705,194
37,埼玉県さいたま市南区,1,0.177218054,84909,209013,195
37,福岡県福岡市東区,0,-0.08862575,124104,209013,195
141,愛知県春日井市,1,0.096543667,124547,210441,196
141,兵庫県伊丹市,0,0.082750645,85894,210441,196
83,神奈川県横浜市神奈川区,1,0.061125896,108919,210725,197
83,神奈川県川崎市多摩区,0,0.100000099,101806,210725,197
179,兵庫県明石市,1,0.158895247,125026,210920,198
179,兵庫県伊丹市,0,0.082750645,85894,210920,198
169,大阪府茨木市,1,0.108083902,125363,211257,199
169,兵庫県伊丹市,0,0.082750645,85894,211257,199
151,三重県四日市市,1,0.128849933,130374,213232,200
151,三重県鈴鹿市,0,0.286766659,82858,213232,200
235,長崎県長崎市,1,0.096654647,162402,215271,201
235,福岡県飯塚市,0,0.055198773,52869,215271,201
251,北海道札幌市豊平区,1,0.153785783,105304,217255,202
251,北海道札幌市東区,0,0.212989726,111951,217255,202
17,福島県福島市,1,0.38671688,122223,223302,203
17,兵庫県神戸市西区,0,0.029455547,101079,223302,203
14,山形県山形市,1,0.119432959,123112,224191,204
14,兵庫県神戸市西区,0,0.029455547,101079,224191,204
